,team_name,href,id,year,league_id
10,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86/saison_id/2019,86,2019,1
11,SC Freiburg,/sc-freiburg/startseite/verein/60/saison_id/2019,60,2019,1
12,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39/saison_id/2019,39,2019,1
13,FC Augsburg,/fc-augsburg/startseite/verein/167/saison_id/2019,167,2019,1
14,1.FC Köln,/1-fc-koln/startseite/verein/3/saison_id/2019,3,2019,1
15,Fortuna Düsseldorf,/fortuna-dusseldorf/startseite/verein/38/saison_id/2019,38,2019,1
16,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89/saison_id/2019,89,2019,1
17,SC Paderborn 07,/sc-paderborn-07/startseite/verein/127/saison_id/2019,127,2019,1
0,Bayern Munich,/fc-bayern-munchen/startseite/verein/27/saison_id/2020,27,2020,1
1,Borussia Dortmund,/borussia-dortmund/startseite/verein/16/saison_id/2020,16,2020,1
2,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2020,23826,2020,1
3,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2020,15,2020,1
4,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18/saison_id/2020,18,2020,1
5,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24/saison_id/2020,24,2020,1
6,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82/saison_id/2020,82,2020,1
7,Hertha BSC,/hertha-bsc/startseite/verein/44/saison_id/2020,44,2020,1
8,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2020,533,2020,1
9,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79/saison_id/2020,79,2020,1
10,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39/saison_id/2020,39,2020,1
11,SC Freiburg,/sc-freiburg/startseite/verein/60/saison_id/2020,60,2020,1
12,FC Schalke 04,/fc-schalke-04/startseite/verein/33/saison_id/2020,33,2020,1
13,1.FC Köln,/1-fc-koln/startseite/verein/3/saison_id/2020,3,2020,1
14,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86/saison_id/2020,86,2020,1
15,FC Augsburg,/fc-augsburg/startseite/verein/167/saison_id/2020,167,2020,1
16,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89/saison_id/2020,89,2020,1
17,Arminia Bielefeld,/arminia-bielefeld/startseite/verein/10/saison_id/2020,10,2020,1
0,Bayern Munich,/fc-bayern-munchen/startseite/verein/27/saison_id/2021,27,2021,1
1,Borussia Dortmund,/borussia-dortmund/startseite/verein/16/saison_id/2021,16,2021,1
2,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,23826,2021,1
3,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2021,15,2021,1
4,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82/saison_id/2021,82,2021,1
5,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18/saison_id/2021,18,2021,1
6,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24/saison_id/2021,24,2021,1
7,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2021,533,2021,1
8,SC Freiburg,/sc-freiburg/startseite/verein/60/saison_id/2021,60,2021,1
9,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79/saison_id/2021,79,2021,1
10,Hertha BSC,/hertha-bsc/startseite/verein/44/saison_id/2021,44,2021,1
11,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39/saison_id/2021,39,2021,1
12,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89/saison_id/2021,89,2021,1
13,1.FC Köln,/1-fc-koln/startseite/verein/3/saison_id/2021,3,2021,1
14,FC Augsburg,/fc-augsburg/startseite/verein/167/saison_id/2021,167,2021,1
15,Arminia Bielefeld,/arminia-bielefeld/startseite/verein/10/saison_id/2021,10,2021,1
16,VfL Bochum,/vfl-bochum/startseite/verein/80/saison_id/2021,80,2021,1
17,SpVgg Greuther Fürth,/spvgg-greuther-furth/startseite/verein/65/saison_id/2021,65,2021,1
0,Bayern Munich,/fc-bayern-munchen/startseite/verein/27/saison_id/2022,27,2022,1
1,Borussia Dortmund,/borussia-dortmund/startseite/verein/16/saison_id/2022,16,2022,1
2,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2022,23826,2022,1
3,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2022,15,2022,1
4,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24/saison_id/2022,24,2022,1
5,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18/saison_id/2022,18,2022,1
6,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82/saison_id/2022,82,2022,1
